sequence_id	class_fst_stage	class_snd_stage
scaffold_1	eukarya	n/a
scaffold_2	eukarya	n/a
scaffold_3	eukarya	n/a
scaffold_4	eukarya	n/a
scaffold_5	eukarya	n/a
scaffold_6	eukarya	n/a
scaffold_7	eukarya	n/a
scaffold_8	eukarya	n/a
scaffold_9	eukarya	n/a
scaffold_10	eukarya	n/a
scaffold_11	eukarya	n/a
scaffold_12	eukarya	n/a
scaffold_13	eukarya	n/a
scaffold_14	eukarya	n/a
scaffold_15	eukarya	n/a
scaffold_16	eukarya	n/a
scaffold_17	eukarya	n/a
scaffold_18	eukarya	n/a
scaffold_19	eukarya	n/a
scaffold_20	eukarya	n/a
scaffold_21	eukarya	n/a
scaffold_22	eukarya	n/a
scaffold_23	eukarya	n/a
scaffold_24	eukarya	n/a
scaffold_25	eukarya	n/a
scaffold_26	eukarya	n/a
scaffold_27	eukarya	n/a
scaffold_28	eukarya	n/a
scaffold_29	eukarya	n/a
scaffold_30	eukarya	n/a
scaffold_32	eukarya	n/a
scaffold_34	eukarya	n/a
scaffold_35	eukarya	n/a
scaffold_36	eukarya	n/a
scaffold_38	eukarya	n/a
scaffold_39	eukarya	n/a
scaffold_40	eukarya	n/a
scaffold_41	eukarya	n/a
scaffold_42	eukarya	n/a
scaffold_44	eukarya	n/a
scaffold_45	eukarya	n/a
scaffold_46	eukarya	n/a
scaffold_47	eukarya	n/a
scaffold_48	eukarya	n/a
scaffold_49	eukarya	n/a
scaffold_50	eukarya	n/a
scaffold_51	eukarya	n/a
scaffold_52	eukarya	n/a
scaffold_53	eukarya	n/a
scaffold_54	eukarya	n/a
scaffold_55	eukarya	n/a
scaffold_56	eukarya	n/a
scaffold_57	eukarya	n/a
scaffold_58	eukarya	n/a
scaffold_59	eukarya	n/a
scaffold_60	eukarya	n/a
scaffold_61	eukarya	n/a
scaffold_62	eukarya	n/a
scaffold_63	eukarya	n/a
scaffold_64	eukarya	n/a
scaffold_65	eukarya	n/a
scaffold_66	eukarya	n/a
scaffold_67	eukarya	n/a
scaffold_68	eukarya	n/a
scaffold_69	eukarya	n/a
scaffold_70	eukarya	n/a
scaffold_71	eukarya	n/a
scaffold_72	eukarya	n/a
scaffold_73	eukarya	n/a
scaffold_74	eukarya	n/a
scaffold_75	eukarya	n/a
scaffold_77	eukarya	n/a
scaffold_78	eukarya	n/a
scaffold_79	eukarya	n/a
scaffold_80	eukarya	n/a
scaffold_81	eukarya	n/a
scaffold_82	eukarya	n/a
scaffold_83	eukarya	n/a
scaffold_84	eukarya	n/a
scaffold_85	eukarya	n/a
scaffold_86	eukarya	n/a
scaffold_87	eukarya	n/a
scaffold_88	eukarya	n/a
scaffold_89	eukarya	n/a
scaffold_90	eukarya	n/a
scaffold_91	eukarya	n/a
scaffold_92	eukarya	n/a
scaffold_93	eukarya	n/a
scaffold_94	eukarya	n/a
scaffold_95	eukarya	n/a
scaffold_96	eukarya	n/a
scaffold_97	eukarya	n/a
scaffold_98	eukarya	n/a
scaffold_99	eukarya	n/a
scaffold_100	eukarya	n/a
scaffold_101	eukarya	n/a
scaffold_102	eukarya	n/a
scaffold_103	eukarya	n/a
scaffold_104	eukarya	n/a
scaffold_105	eukarya	n/a
scaffold_106	eukarya	n/a
scaffold_107	eukarya	n/a
scaffold_108	eukarya	n/a
scaffold_109	eukarya	n/a
scaffold_110	eukarya	n/a
scaffold_111	eukarya	n/a
scaffold_112	eukarya	n/a
scaffold_113	eukarya	n/a
scaffold_114	eukarya	n/a
scaffold_115	eukarya	n/a
scaffold_116	eukarya	n/a
scaffold_117	eukarya	n/a
scaffold_118	eukarya	n/a
scaffold_119	eukarya	n/a
scaffold_120	eukarya	n/a
scaffold_121	eukarya	n/a
scaffold_122	eukarya	n/a
scaffold_123	eukarya	n/a
scaffold_124	eukarya	n/a
scaffold_125	eukarya	n/a
scaffold_126	eukarya	n/a
scaffold_127	eukarya	n/a
scaffold_128	eukarya	n/a
scaffold_129	eukarya	n/a
scaffold_130	eukarya	n/a
scaffold_131	eukarya	n/a
scaffold_132	eukarya	n/a
scaffold_133	eukarya	n/a
scaffold_134	eukarya	n/a
scaffold_135	eukarya	n/a
scaffold_136	eukarya	n/a
scaffold_137	eukarya	n/a
scaffold_138	eukarya	n/a
scaffold_139	eukarya	n/a
scaffold_140	eukarya	n/a
scaffold_141	unknown	n/a
scaffold_142	eukarya	n/a
scaffold_143	eukarya	n/a
scaffold_144	eukarya	n/a
scaffold_145	eukarya	n/a
scaffold_146	eukarya	n/a
scaffold_147	eukarya	n/a
scaffold_148	eukarya	n/a
scaffold_149	eukarya	n/a
scaffold_150	eukarya	n/a
scaffold_151	eukarya	n/a
scaffold_152	eukarya	n/a
scaffold_153	eukarya	n/a
scaffold_154	eukarya	n/a
scaffold_155	eukarya	n/a
scaffold_156	eukarya	n/a
scaffold_157	eukarya	n/a
scaffold_158	eukarya	n/a
scaffold_159	eukarya	n/a
scaffold_160	eukarya	n/a
scaffold_161	eukarya	n/a
scaffold_162	eukarya	n/a
scaffold_163	eukarya	n/a
scaffold_164	eukarya	n/a
scaffold_165	eukarya	n/a
scaffold_166	eukarya	n/a
scaffold_167	eukarya	n/a
scaffold_168	eukarya	n/a
scaffold_169	eukarya	n/a
scaffold_170	eukarya	n/a
scaffold_171	eukarya	n/a
scaffold_172	eukarya	n/a
scaffold_173	eukarya	n/a
scaffold_174	eukarya	n/a
scaffold_175	eukarya	n/a
scaffold_176	eukarya	n/a
scaffold_177	eukarya	n/a
scaffold_178	eukarya	n/a
scaffold_179	eukarya	n/a
scaffold_180	eukarya	n/a
scaffold_181	eukarya	n/a
scaffold_182	eukarya	n/a
scaffold_183	eukarya	n/a
scaffold_184	eukarya	n/a
scaffold_185	eukarya	n/a
scaffold_186	eukarya	n/a
scaffold_187	eukarya	n/a
scaffold_188	eukarya	n/a
scaffold_189	eukarya	n/a
scaffold_190	eukarya	n/a
scaffold_191	eukarya	n/a
scaffold_192	bacteria	n/a
scaffold_193	eukarya	n/a
scaffold_194	eukarya	n/a
scaffold_195	eukarya	n/a
scaffold_196	eukarya	n/a
scaffold_197	eukarya	n/a
scaffold_198	eukarya	n/a
scaffold_199	eukarya	n/a
scaffold_200	eukarya	n/a
scaffold_201	eukarya	n/a
scaffold_202	eukarya	n/a
scaffold_203	eukarya	n/a
scaffold_204	eukarya	n/a
scaffold_205	eukarya	n/a
scaffold_206	prokarya	n/a
scaffold_207	eukarya	n/a
scaffold_208	eukarya	n/a
scaffold_209	eukarya	n/a
scaffold_210	eukarya	n/a
scaffold_211	eukarya	n/a
scaffold_212	eukarya	n/a
scaffold_213	eukarya	n/a
scaffold_214	eukarya	n/a
scaffold_215	eukarya	n/a
scaffold_216	eukarya	n/a
scaffold_217	eukarya	n/a
scaffold_218	eukarya	n/a
scaffold_219	eukarya	n/a
scaffold_220	eukarya	n/a
scaffold_221	eukarya	n/a
scaffold_222	eukarya	n/a
scaffold_223	eukarya	n/a
scaffold_224	eukarya	n/a
scaffold_225	eukarya	n/a
scaffold_226	eukarya	n/a
scaffold_227	eukarya	n/a
scaffold_228	bacteria	n/a
scaffold_229	eukarya	n/a
scaffold_230	eukarya	n/a
scaffold_231	eukarya	n/a
scaffold_232	eukarya	n/a
scaffold_233	eukarya	n/a
scaffold_234	eukarya	n/a
scaffold_235	eukarya	n/a
scaffold_236	eukarya	n/a
scaffold_237	eukarya	n/a
scaffold_238	eukarya	n/a
scaffold_239	eukarya	n/a
scaffold_240	eukarya	n/a
scaffold_241	eukarya	n/a
scaffold_242	eukarya	n/a
scaffold_243	eukarya	n/a
scaffold_244	eukarya	n/a
scaffold_245	eukarya	n/a
scaffold_246	eukarya	n/a
scaffold_247	eukarya	n/a
scaffold_248	eukarya	n/a
scaffold_249	eukarya	n/a
scaffold_250	eukarya	n/a
scaffold_251	eukarya	n/a
scaffold_252	eukarya	n/a
scaffold_253	eukarya	n/a
scaffold_254	eukarya	n/a
scaffold_255	eukarya	n/a
scaffold_256	unknown	n/a
scaffold_257	eukarya	n/a
scaffold_258	eukarya	n/a
scaffold_259	eukarya	n/a
scaffold_260	eukarya	n/a
scaffold_261	eukarya	n/a
scaffold_262	eukarya	n/a
scaffold_263	eukarya	n/a
scaffold_264	eukarya	n/a
scaffold_265	eukarya	n/a
scaffold_266	unknown	n/a
scaffold_267	unknown	n/a
scaffold_268	eukarya	n/a
scaffold_269	eukarya	n/a
scaffold_270	eukarya	n/a
scaffold_271	eukarya	n/a
scaffold_272	eukarya	n/a
scaffold_273	eukarya	n/a
scaffold_274	eukarya	n/a
scaffold_275	eukarya	n/a
